2624	4208
3371	4208
1409	4208
1060	4208
2806	4208
1415	4208
1180	4208
1960	4208
2870	4208
2234	4208
3524	4208
4032	4208
1007	4208
3770	4208
1966	4208
1353	4208
1903	4208
1967	4208
4038	4208
231	4208
2112	4208
593	4208
1723	4208
3529	4208
1303	4208
1436	4208
1190	4208
1441	4208
1306	4208
3332	4208
2507	4208
3602	4208
3783	4208
354	4208
3014	4208
1647	4208
1258	4208
3984	4208
897	4208
1983	4208
249	4208
1659	4208
2330	4208
4063	4208
3999	4208
2073	4208
1466	4208
783	4208
1606	4208
2971	4208
1677	4208
3809	4209
131	4209
3060	4209
514	4209
320	4209
137	4209
2463	4209
3371	4209
1060	4209
2806	4209
1415	4209
1180	4209
2234	4209
3524	4209
4032	4209
1353	4209
1966	4209
1967	4209
4038	4209
2112	4209
593	4209
3529	4209
1303	4209
1441	4209
3332	4209
3602	4209
3783	4209
354	4209
3014	4209
1647	4209
1258	4209
3984	4209
897	4209
1983	4209
249	4209
1659	4209
4063	4209
2073	4209
783	4209
2971	4209
3809	4210
131	4210
3060	4210
514	4210
320	4210
137	4210
2463	4210
3371	4210
1060	4210
2806	4210
1415	4210
2234	4210
3524	4210
1353	4210
1966	4210
4038	4210
2112	4210
593	4210
3529	4210
1303	4210
1441	4210
3332	4210
3602	4210
3783	4210
354	4210
3014	4210
1258	4210
3984	4210
897	4210
1983	4210
249	4210
1659	4210
4063	4210
2073	4210
783	4210
2971	4210
3628	4211
3395	4211
2535	4211
47	4211
199	4211
2857	4211
849	4211
2461	4211
1632	4211
3986	4211
3999	4211
2579	4211
1466	4211
2490	4211
1053	4211
622	4211
3207	4211
2565	4211
1812	4211
1811	4211
3395	4212
3705	4212
1208	4212
121	4212
2838	4212
2490	4212
3207	4212
622	4212
3511	4212
2920	4213
2981	4213
3882	4213
3816	4213
3691	4213
1331	4213
2156	4213
3511	4213
1233	4213
1951	4213
222	4213
3207	4213
1297	4213
2490	4213
1969	4213
3395	4213
894	4213
1585	4213
2263	4213
2516	4213
1208	4213
622	4213
3207	4214
622	4214
2607	4215
